"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"C02353","Adenosine 2',3'-cyclic phosphate","HMDB0011616","441483","C02353","NC1=NC=NC2=C1N=CN2C1OC(CO)C2OP(O)(=O)OC12","1"
"C03794","Adenylsuccinic acid","HMDB0000536","447145","C03794","O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N[C@@H](CC(O)=O)C(O)=O","1"
"C00499","Allantoic acid","HMDB0001209","203","C00499","NC(=O)NC(NC(N)=O)C(O)=O","1"
"C02350","Allantoin","HMDB0000462","204","C02350","NC(=O)NC1NC(=O)NC1=O","1"
"C00099","beta-Alanine","HMDB0000056","239","C00099","NCCC(O)=O","1"
"C00144","Guanosine monophosphate","HMDB0001397","6804","C00144","NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1","1"
"C00214","Thymidine","HMDB0000273","5789","C00214","CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O","1"
"C00364","5-Thymidylic acid","HMDB0001227","9700","C00364","CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O","1"
"C00106","Uracil","HMDB0000300","1174","C00106","O=C1NC=CC(=O)N1","1"
"C00366","Uric acid","HMDB0000289","1175","C00366","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"C00299","Uridine","HMDB0000296","6029","C00299","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"C00105","Uridine 5'-monophosphate","HMDB0000288","6030","C00105","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"C02355","Uridine 2',3'-cyclic phosphate","HMDB0011640","439715","C02355","OC[C@H]1O[C@H]([C@@H]2OP(O)(=O)O[C@H]12)N1C=CC(=O)NC1=O","1"
"C00385","Xanthine","HMDB0000292","1188","C00385","O=C1NC2=C(NC=N2)C(=O)N1","1"
"C02155","Glycylleucine","HMDB0000759","92843","C02155","CC(C)C[C@H](NC(=O)CN)C(O)=O","1"
"C02183","1,3,5-Trihydroxybenzene","HMDB0013675","359","C02183","OC1=CC(O)=CC(O)=C1","1"
"C03761","3-Hydroxymethylglutaric acid","HMDB0000355","1662","C03761","CC(O)(CC(O)=O)CC(O)=O","1"
"C02094","beta-Carotene","HMDB0000561","5280489","C02094","C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C","1"
"C09213","Lenticin","HMDB0061115","442106","C09213","C[N+](C)(C)[C@@H](CC1=CNC2=CC=CC=C12)C([O-])=O","1"
"C01104","Trimethylamine N-oxide","HMDB0000925","1145","C01104","C[N+](C)(C)[O-]","1"
