"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Inosine triphosphate","Inosine triphosphate","HMDB0000189","8583","C00081","O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O","1"
"ATP isotope","NA","NA","NA","NA","NA","0"
"GTP","Guanosine triphosphate","HMDB0001273","6830","C00044","NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1","1"
"cADP-pentose","NA","NA","NA","NA","NA","0"
"UDP-pentose","NA","NA","NA","NA","NA","0"
"cADP-Pentose","NA","NA","NA","NA","NA","0"
"ADP-Pentose","NA","NA","NA","NA","NA","0"
"Phosphopentosyl-AMP","NA","NA","NA","NA","NA","0"
"dTDP-Hexose","NA","NA","NA","NA","NA","0"
"GDP-3,6-dideoxy-D-Hexose","NA","NA","NA","NA","NA","0"
"Biotinyl-5-AMP","NA","NA","NA","NA","NA","0"
"dTDP-D-Hexose","NA","NA","NA","NA","NA","0"
"UDP-Hexose","NA","NA","NA","NA","NA","0"
"UDP-Hexose isotope","NA","NA","NA","NA","NA","0"
"UDP-Hexuronate","NA","NA","NA","NA","NA","0"
"UDP-Hexuronate isotope","NA","NA","NA","NA","NA","0"
"Stearoylglycerophosphoinositol","NA","NA","NA","NA","NA","0"
"Adenosine tetraphosphate","Adenosine tetraphosphate","HMDB0001364","14003","C03483","NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"GDP-L-fucose","GDP-L-fucose","HMDB0001095","439211","C00325","C[C@@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=C(N)NC3=O)[C@@H](O)[C@H](O)[C@@H]1O","1"
"UDP-HexNAc 1 -Oleoylglycerophosphoinositol","NA","NA","NA","NA","NA","0"
"GDP-Hexose","NA","NA","NA","NA","NA","0"
"UDP-HexNAc","NA","NA","NA","NA","NA","0"
"UDP-HexNAc isotope","NA","NA","NA","NA","NA","0"
"GSSG","Oxidized glutathione","HMDB0003337","65359","C00127","N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O","1"
"ADP-ribose 1-2 cyclic phosphate","NA","NA","NA","NA","NA","0"
"UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate","UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate","METPA0513",NA,"C04573",NA,"1"
"ADP-ribose 2-phosphate","NA","NA","NA","NA","NA","0"
"FAD","FAD","HMDB0001248","643975","C00016","CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2","1"
"CoA","Coenzyme A","HMDB0001423","87642","C00010","CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS","1"
"C18:0","Stearic acid","HMDB0000827","5281","C01530","CCCCCCCCCCCCCCCCCC(O)=O","1"
"C16:0","Palmitic acid","HMDB0000220","985","C00249","CCCCCCCCCCCCCCCC(O)=O","1"
"Glycerophospholipid","glycerophospholipid",NA,NA,NA,NA,"1"
"C22:5","NA","NA","NA","NA","NA","0"
"Aceto-acetyl COA","NA","NA","NA","NA","NA","0"
"Phosphatidylinositol","NA","NA","NA","NA","NA","0"
"Phosphatidylinositol isotope","NA","NA","NA","NA","NA","0"
"D-GIucosamine 6-phosphate","NA","NA","NA","NA","NA","0"
"N-Acetylaspartylglutamate","N-Acetylaspartylglutamic acid","HMDB0001067","188803","C12270","CC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"3-Carbamoyl-2-phenylpropionic acid","3-Carbamoyl-2-phenylpropionic acid","HMDB0060367","3025746","C16591","OC(=N)OCC(C(O)=O)C1=CC=CC=C1","1"
"N-Fonnimino-L-glutamate","NA","NA","NA","NA","NA","0"
"S-2,3,4,5-Tetrahydropyridine-2-carboxylate","NA","NA","NA","NA","NA","0"
"1 -N tro-5-hydroxy-6-glutathionyl-5,6-dihydronphthalene","NA","NA","NA","NA","NA","0"
"Deoxyribose","Deoxyribose","HMDB0003224","22833604","C01801","OC[C@@H]1O[C@H](O)C[C@H]1O","1"
"Uridine","Uridine","HMDB0000296","6029","C00299","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"Indole-3-acetaldehyde","Indoleacetaldehyde","HMDB0001190","800","C00637","O=CCC1=CNC2=C1C=CC=C2","1"
"5-HydroxyindoIeacetaldehyde","NA","NA","NA","NA","NA","0"
"Pyridoxine","Pyridoxine","HMDB0000239","1054","C00314","CC1=C(O)C(CO)=C(CO)C=N1","1"
"NH3","Ammonia","HMDB0000051","222","C00014","N","1"
"Ileucinc","NA","NA","NA","NA","NA","0"
"Histamine","Histamine","HMDB0000870","774","C00388","NCCC1=CNC=N1","1"
"L-Glycine","NA","NA","NA","NA","NA","0"
"L-leucine","Leucine","HMDB0000687","6106","C00123","CC(C)C[C@H](N)C(O)=O","1"
"L-phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"L-cysteine","L-Cysteine","HMDB0000574","5862","C00097","N[C@@H](CS)C(O)=O","1"
"L-histidine","Histidine","HMDB0000177","6274","C00135","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"3-phosphoglycerate","3-Phosphoglyceric acid","HMDB0000807","724","C00597","OC(COP(O)(O)=O)C(O)=O","1"
"phosphoenolpyruvate","Phosphoenolpyruvic acid","HMDB0000263","1005","C00074","OC(=O)C(=C)OP(O)(O)=O","1"
"glyceraldehyde 3-phosphate","Glyceraldehyde 3-phosphate","HMDB0001112","439168","C00118","O[C@H](COP(O)(O)=O)C=O","1"
"L-glutamate","L-Glutamate",NA,NA,"C00025",NA,"1"
"Adenylosuccinatete","NA","NA","NA","NA","NA","0"
"S-Lactate","NA","NA","NA","NA","NA","0"
"3-Phosphoglyceric acid","3-Phosphoglyceric acid","HMDB0000807","724","C00597","OC(COP(O)(O)=O)C(O)=O","1"
"Aconitate","cis-Aconitic acid","HMDB0000072","643757","C00417","OC(=O)C\C(=C\C(O)=O)C(O)=O","1"
"Guanine","Guanine","HMDB0000132","764","C00242","NC1=NC(=O)C2=C(N1)N=CN2","1"
"Phosphoenolpyruvate","Phosphoenolpyruvic acid","HMDB0000263","1005","C00074","OC(=O)C(=C)OP(O)(O)=O","1"
"Glyceraldehyde 3-phosphate","Glyceraldehyde 3-phosphate","HMDB0001112","439168","C00118","O[C@H](COP(O)(O)=O)C=O","1"
"Acetyl-CoA","Acetyl-CoA","HMDB0001206","444493","C00024","CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","1"
"Sedoheptulose 7-phosphate","NA","NA","NA","NA","NA","0"
"2-oxoglutarate","Oxoglutaric acid","HMDB0000208","51","C00026","OC(=O)CCC(=O)C(O)=O","1"
"D-Fructose 1,6-bisphosphate","Fructose 1,6-bisphosphate","HMDB0001058","10267","C00354","O[C@H]1[C@H](O)[C@@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O","1"
"D-Fructose 6-phosphate","Fructose 6-phosphate","HMDB0000124","69507","C00085","OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O","1"
"D-Ribose 5-phosphate","D-Ribose 5-phosphate","HMDB0001548","440101","C00117","O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"D-Glucose 6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","C00092","OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O","1"
"D-Xylulose 5-phosphate","Xylulose 5-phosphate","HMDB0000868","439190","C00231","OCC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O","1"
"D-Ribulose 5-phosphate","D-Ribulose 5-phosphate","HMDB0000618","439184","C00199","OCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O","1"
"D-Erythrose 4-phosphate","D-Erythrose 4-phosphate","HMDB0001321","122357","C00279","O[C@H](COP(O)(O)=O)[C@@H](O)C=O","1"
"pyruvate","Pyruvic acid","HMDB0000243","1060","C00022","CC(=O)C(O)=O","1"
"dihydroxyacetone phosphate","Dihydroxyacetone phosphate","HMDB0001473","668","C00111","OCC(=O)COP(O)(O)=O","1"
"L-Serine","Serine","HMDB0000187","5951","C00065","N[C@@H](CO)C(O)=O","1"
"L-Asparagine","L-Asparagine","HMDB0000168","6267","C00152","N[C@@H](CC(N)=O)C(O)=O","1"
"L-Leucine","Leucine","HMDB0000687","6106","C00123","CC(C)C[C@H](N)C(O)=O","1"
"L-Tryptophan","L-Tryptophan","HMDB0000929","6305","C00078","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"L-Phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"L-Cysteine","L-Cysteine","HMDB0000574","5862","C00097","N[C@@H](CS)C(O)=O","1"
"D-Glucose 1-phosphate","D-Glucose 1-phosphate",NA,"3403","C00103",NA,"1"
"L-Tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"L-Arginine","L-Arginine","HMDB0000517","6322","C00062","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"L-Aspartic acid","L-Aspartic acid","HMDB0000191","5960","C00049","N[C@@H](CC(O)=O)C(O)=O","1"
"L-Glutamate","L-Glutamate",NA,NA,"C00025",NA,"1"
"L-Proline","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"L-Alanine","L-Alanine","HMDB0000161","5950","C00041","C[C@H](N)C(O)=O","1"
