"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"N-[(3S,9R,10R)-9-[[cyclopropylmethyl(methyl)amino]methyl]-12-[(2S)-1-hydroxypropan-2-yl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]methanesulfonamide","NA","NA","NA","NA","NA","0"
"N-Palmitoylsphingosine","Cer(d18:1/16:0)","HMDB0004949","5283564","C00195","[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"N,N'-Bis(g-glutamyl)-3,3'-(1,2-propylenedithio)dialanine","N,N'-Bis(g-glutamyl)-3,3'-(1,2-propylenedithio)dialanine","HMDB0038667","131752418",NA,"CC(CSCC(NC(=O)CCC(N)C(O)=O)C(O)=O)SCC(NC(=O)CCC(N)C(O)=O)C(O)=O","1"
"LysoPC(20:5(5Z,8Z,11Z,14Z,17Z))","NA","NA","NA","NA","NA","0"
"LSM-11779","NA","NA","NA","NA","NA","0"
"Ergosine","NA","NA","NA","NA","NA","0"
"PS(20:0/0:0)","NA","NA","NA","NA","NA","0"
"4-[[[(2S,3R)-9-[[cyclohexyl(oxo)methyl]amino]-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-2-yl]methyl-methylamino]methyl]benzoic acid","NA","NA","NA","NA","NA","0"
"LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z))","NA","NA","NA","NA","NA","0"
"Cer(d18:0/18:1(9Z))","NA","NA","NA","NA","NA","0"
"Artoindonesianin A;13-[(2E)-3,7-Dimethyl-2,6-octadienyl]-5a,6-dihydro-1,3,8-trihydroxy-5,5,11,11-tetramethyl-5H,7H,11H-benzofuro[3,4-bc]pyrano[2,3-i]xanthen-7-one","NA","NA","NA","NA","NA","0"
"2-palmitoleoyl-sn-glycero-3-phospho-D-myo-inositol","NA","NA","NA","NA","NA","0"
"Montecristin","Montecristin","HMDB0029795","131750907",NA,"CCCCCCCCCCCC\C=C/CC\C=C/CCC(O)C(O)CCCCCCCCCCC1=CC(C)OC1=O","1"
"PS(22:0/0:0)","NA","NA","NA","NA","NA","0"
"N-[[(3R,9S,10R)-16-(dimethylamino)-12-[(2R)-1-hydroxypropan-2-yl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-9-yl]methyl]-N,4-dimethylbenzenesulfonamide","NA","NA","NA","NA","NA","0"
"2-[(2R,4aS,12aS)-5-methyl-8-[(4-methylphenyl)sulfonylamino]-6-oxo-2,3,4,4a,12,12a-hexahydropyrano[2,3-c][1,5]benzoxazocin-2-yl]-N-[(2-methoxyphenyl)methyl]acetamide","NA","NA","NA","NA","NA","0"
"Forskoditerpenoside D;(-)-Forskoditerpenoside D","NA","NA","NA","NA","NA","0"
"1-Oleoylglycerophosphoinositol","NA","NA","NA","NA","NA","0"
"6-[5-(3-{[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy}-5,7-dihydroxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl)-2-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","NA","NA","NA","NA","NA","0"
"N-[(2S,3S)-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl-[(4-phenoxyphenyl)methyl]amino]methyl]-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]-2-(1-tetrazolyl)acetamide","NA","NA","NA","NA","NA","0"
"8-demethyl-8-(2-O-methyl-alpha-L-rhamnosyl)tetracenomycin C","8-Demethyl-8-(2-O-methyl-alpha-L-rhamnosyl)tetracenomycin C",NA,"254741434","C20975",NA,"1"
"Lanceotoxin A","NA","NA","NA","NA","NA","0"
"1-Arachidonoylglycerophosphoinositol","NA","NA","NA","NA","NA","0"
"Squamoxinone","Squamoxinone","HMDB0031893","75069303",NA,"CCCCCCCCCCCCC(O)C1CCC(O1)C(O)CCCCCC(O)CCCCCCC1CC(CC(C)=O)C(=O)O1","1"
"(3a,5b,7a,12a)-24-[(carboxymethyl)amino]-1,12-dihydroxy-24-oxocholan-3-yl-b-D-Glucopyranosiduronic acid","(3a,5b,7a,12a)-24-[(carboxymethyl)amino]-1,12-dihydroxy-24-oxocholan-3-yl-b-D-Glucopyranosiduronic acid","HMDB0002472","6419427",NA,"[H][C@@]12CCC([C@H](C)CCC(=O)NCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])C[C@@H](CC[C@]12C)O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O","1"
"cholesteryl 6-O-hexanoyl-beta-D-galactoside","NA","NA","NA","NA","NA","0"
"N-(icosanoyl)-tetradecasphing-4-enine-1-phosphoethanolamine","NA","NA","NA","NA","NA","0"
"Fenugreekine","Fenugreekine","HMDB0039421","444170",NA,"NC(=O)C1=NC(=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O","1"
"Goyaglycoside c","Goyaglycoside c","HMDB0038349","131752113",NA,"COC1OC23C=CC4C5(C)CCC(C(C)C\C=C\C(C)(C)OC)C5(C)CCC14C2CCC(OC1OC(CO)C(O)C(O)C1O)C3(C)C","1"
"PE(16:1(9Z)/16:1(9Z))","NA","NA","NA","NA","NA","0"
"N-pentadecanoylsphingosine-1-phosphocholine","NA","NA","NA","NA","NA","0"
"PE(16:0/16:1(9Z))","NA","NA","NA","NA","NA","0"
"N-(heptadecanoyl)hexadecasphingosine-1-phosphocholine","NA","NA","NA","NA","NA","0"
"N-(octadecanoyl)hexadecasphingosine-1-phosphocholine","NA","NA","NA","NA","NA","0"
"PC(14:0/16:1(9Z))","NA","NA","NA","NA","NA","0"
"PE(18:1(9Z)/16:1(9Z))","NA","NA","NA","NA","NA","0"
"1-myristoyl-2-oleoyl-sn-glycero-3-phosphatidylglycerol(1-)","NA","NA","NA","NA","NA","0"
"texas red-X","NA","NA","NA","NA","NA","0"
"1-(6-[5]-ladderane-hexanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine","NA","NA","NA","NA","NA","0"
"PC(16:1(9Z)/16:1(9Z))","NA","NA","NA","NA","NA","0"
"PS(16:0/16:1(9Z))","NA","NA","NA","NA","NA","0"
"1-(6-[3]-ladderane-hexanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine","NA","NA","NA","NA","NA","0"
"PC(16:1(9Z)/16:0)","NA","NA","NA","NA","NA","0"
"PE(18:1(9Z)/18:2(9Z,12Z))","NA","NA","NA","NA","NA","0"
"PE(16:0/20:3(8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"PE(18:1(9Z)/18:1(9Z))","NA","NA","NA","NA","NA","0"
"PA(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","NA","NA","NA","NA","NA","0"
"PG(16:0/18:2(9Z,12Z))","PG(16:0/18:2(9Z,12Z))","HMDB0010575","52927246",NA,"[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"PG(18:1(9Z)/16:0)","NA","NA","NA","NA","NA","0"
"3-O-Sulfogalactosylceramide (d18:1/14:0)","3-O-Sulfogalactosylceramide (d18:1/14:0)","HMDB0012312","53481402","C06125","CCCCCCCCCCCCC\C=C\[C@](O)([H])[C@]([H])(CO[C@@H]1O[C@H](CO)[C@H](O)C(OS(=O)(O)=O)C1O)NC(=O)CCCCCCCCCCCCC","1"
"PS(18:1(9Z)/16:1(9Z))","NA","NA","NA","NA","NA","0"
"1-(8-[5]-ladderane-octanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine","NA","NA","NA","NA","NA","0"
"PE-NMe(18:1(9Z)/18:1(9Z))","NA","NA","NA","NA","NA","0"
"PS(16:1(9Z)/18:1(9Z))","NA","NA","NA","NA","NA","0"
"PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","NA","NA","NA","NA","NA","0"
"PS(18:0/16:0)","NA","NA","NA","NA","NA","0"
"PE(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"PS(16:0/18:0)","NA","NA","NA","NA","NA","0"
"PG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"PG(18:1(9Z)/18:1(9Z))","NA","NA","NA","NA","NA","0"
"PC(18:4(6Z,9Z,12Z,15Z)/18:3(9Z,12Z,15Z))","NA","NA","NA","NA","NA","0"
"PC(18:4(6Z,9Z,12Z,15Z)/18:2(9Z,12Z))","NA","NA","NA","NA","NA","0"
"3-O-Sulfogalactosylceramide (d18:1/16:0)","NA","NA","NA","NA","NA","0"
"PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"PE(18:4(6Z,9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","NA","NA","NA","NA","NA","0"
"Ins-1-P-Cer(d20:0/14:0)(1-)","NA","NA","NA","NA","NA","0"
"PC(18:2(9Z,12Z)/18:1(11Z))","NA","NA","NA","NA","NA","0"
"Majonoside R2","Majonoside R2","HMDB0040418","73157192",NA,"CC(C)(O)C1CCC(C)(O1)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(CC21C)OC1OC(CO)C(O)C(O)C1OC1OCC(O)C(O)C1O","1"
"PS(18:1(9Z)/18:1(9Z))","NA","NA","NA","NA","NA","0"
"PC(14:1(9Z)/22:1(13Z))","NA","NA","NA","NA","NA","0"
"PS(18:0/18:1(9Z))","NA","NA","NA","NA","NA","0"
"PS(18:0/18:0)","NA","NA","NA","NA","NA","0"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:3(6Z,9Z,12Z))","NA","NA","NA","NA","NA","0"
"PC(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","NA","NA","NA","NA","NA","0"
"PC(18:3(9Z,12Z,15Z)/20:4(5Z,8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"N-Monodemethyl roxithromycin","N-Monodemethyl roxithromycin","HMDB0060845","131769974",NA,"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2CC(OC)[C@@H](O)C(C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)CC(NC)C2O)[C@](C)(O)C[C@@H](C)\C(=N/OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O","1"
"PS(20:4(5Z,8Z,11Z,14Z)/18:1(9Z))","NA","NA","NA","NA","NA","0"
"PI(16:0/16:0)","PI(16:0/16:0)","HMDB0009778","24779556","C00626","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCCCCCCCC","1"
"PS(22:0/16:1(9Z))","NA","NA","NA","NA","NA","0"
"PE-NMe(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","NA","NA","NA","NA","NA","0"
"PC(18:4(6Z,9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","NA","NA","NA","NA","NA","0"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:4(5Z,8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"PS(20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"PC(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","NA","NA","NA","NA","NA","0"
"PS(22:4(7Z,10Z,13Z,16Z)/18:4(6Z,9Z,12Z,15Z))","NA","NA","NA","NA","NA","0"
"Notoginsenoside J","Notoginsenoside J","HMDB0031757","131752523",NA,"CC(C)(O)C(O)CCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(CC21C)OC1OC(CO)C(O)C(O)C1O","1"
"PI(16:0/18:2(9Z,12Z))","NA","NA","NA","NA","NA","0"
"PS(18:0/22:4(7Z,10Z,13Z,16Z))","NA","NA","NA","NA","NA","0"
"PS(20:0/20:1(11Z))","NA","NA","NA","NA","NA","0"
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","NA","NA","NA","NA","NA","0"
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","NA","NA","NA","NA","NA","0"
"22:2-Glc-Campesterol","NA","NA","NA","NA","NA","0"
"PGP(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","NA","NA","NA","NA","NA","0"
"Quinone","Quinone","HMDB0003364","4650","C00472","O=C1C=CC(=O)C=C1","1"
"Brunfelsamidine","NA","NA","NA","NA","NA","0"
"2,4-Diaminobutyric acid","2,4-Diaminobutyric acid","HMDB0002362","470",NA,"NCCC(N)C(O)=O","1"
"indoline","NA","NA","NA","NA","NA","0"
"3-Mercapto-1-hexanol","3-Mercapto-1-hexanol","HMDB0040152","521348",NA,"CCCC(S)CCO","1"
"3-Pyridylacetic acid","3-Pyridylacetic acid","HMDB0001538","108",NA,"OC(=O)CC1=CN=CC=C1","1"
"Hypoxanthine","Hypoxanthine","HMDB0000157","790","C00262","OC1=NC=NC2=C1NC=N2","1"
"Phosphonoacetate","Phosphonoacetate","HMDB0004110","546","C05682","OC(=O)CP(O)(O)=O","1"
"Phentermine","Phentermine","HMDB0014337","4771","C07438","CC(C)(N)CC1=CC=CC=C1","1"
"8-Hydroxyadenine","8-Hydroxyadenine","HMDB0000542","95215","C22499","NC1=NC=NC2=C1NC(O)=N2","1"
"L-Histidine","Histidine","HMDB0000177","6274","C00135","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"3-Hydroxyadipic acid","3-Hydroxyadipic acid","HMDB0000345","151913",NA,"OC(CCC(O)=O)CC(O)=O","1"
"3-Methoxyanthranilate","3-Methoxyanthranilate","HMDB0060374","255720","C05831","COC1=CC=CC(C(O)=O)=C1N","1"
"C00050425","NA","NA","NA","NA","NA","0"
"(R)C(S)S-Alliin","(R)C(S)S-Alliin","HMDB0033592","121922","C08265","NC(CS(=O)CC=C)C(O)=O","1"
"2,6-Diamino-4-hydroxy-5-N-methylformamidopyrimidine","2,6-Diamino-4-hydroxy-5-N-methylformamidopyrimidine","HMDB0011657","127546","C04744","CN(C=O)C1=C(N)N=C(N)N=C1O","1"
"1-acetylindole-3-carboxaldehyde","NA","NA","NA","NA","NA","0"
"4-acetamido-4,6-dideoxy-D-galactose","NA","NA","NA","NA","NA","0"
"1-Nitro-5,6-dihydroxy-dihydronaphthalene","1-Nitro-5,6-dihydroxy-dihydronaphthalene","HMDB0060328","11954052","C14801","OC1C=CC2=C(C=CC=C2N(=O)=O)C1O","1"
"3-Methoxytyrosine","3-Methoxytyrosine","HMDB0001434","1670",NA,"COC1=C(O)C=CC(CC(N)C(O)=O)=C1","1"
"(2E,8Z)-Decadiene-4,6-diyn-1-yl 3-methylbutanoate","(2E,8Z)-Decadiene-4,6-diyn-1-yl 3-methylbutanoate","HMDB0035425","5352701",NA,"C\C=C/C#CC#C\C=C\COC(=O)CC(C)C","1"
"Falimint","Falimint","HMDB0040988","68377",NA,"CCCOC1=C(NC(C)=O)C=C(C=C1)N(=O)=O","1"
"Ambronide","Ambronide","HMDB0036831","107166",NA,"CC12CCC3C(C)(C)CCCC3(C)C1CCO2","1"
"Glycyl-Tyrosine","Glycyltyrosine","HMDB0028853","92829",NA,"NCC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"1-alkyl-2-acylglycerophosphoethanolamine","1-alkyl-2-acylglycerophosphoethanolamine","HMDB0062185","57339178","C04475","[H][C@@](CO)(COP(O)(=O)OCCN)OC=O","1"
"Fumarycarnitine","Fumarycarnitine","HMDB0013134","53481699",NA,"[O-]C(=O)C[C@H](OC(=O)\C=C\C(O)=O)C[N+](C)(C)C","1"
"5-(1-hydroxypropan-2-yl)isolongifol-4-ene","NA","NA","NA","NA","NA","0"
"(9Z,12Z,15Z)-octadecatrien-1-ol","NA","NA","NA","NA","NA","0"
"Adenosine","Adenosine","HMDB0000050","60961","C00212","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"Linoleamide","Linoleamide","HMDB0062656","6435901",NA,"[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])CCCCCCCC(O)=N","1"
"13-Hydroxyabscisic acid","13-Hydroxyabscisic acid","HMDB0036095","131751914",NA,"C\C(\C=C\C1(O)C(C)=CC(=O)CC1(C)CO)=C/C(O)=O","1"
"Kaempferol","Kaempferol","HMDB0005801","5280863","C05903","OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1","1"
"Terbinafine","Terbinafine","HMDB0014995","1549008","C08079","CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12","1"
"Jatrophone","NA","NA","NA","NA","NA","0"
"(R)-2-Hydroxysterculic acid","(R)-2-Hydroxysterculic acid","HMDB0031060","131751126",NA,"CCCCCCCCC1=C(CCCCCCC(O)C(O)=O)C1","1"
"(2E,18R)-18-hydroxynonadec-2-enoic acid","NA","NA","NA","NA","NA","0"
"Ajmaline","Ajmaline","HMDB0015495","441080","C06542","CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5[C@]44C[C@@H](C2[C@H]4O)N3[C@@H]1O","1"
"N-Oleoylethanolamine","Oleoylethanolamide","HMDB0002088","5283454",NA,"CCCCCCCC\C=C/CCCCCCCC(=O)NCCO","1"
"1-Acetoxy-2-hydroxy-16-heptadecen-4-one","1-Acetoxy-2-hydroxy-16-heptadecen-4-one","HMDB0031006","56968446",NA,"CC(=O)OCC(O)CC(=O)CCCCCCCCCCCC=C","1"
"4-[5-(2-methyl-3-phenylprop-2-enylidene)-2,4-dioxo-3-thiazolidinyl]butanoic acid","NA","NA","NA","NA","NA","0"
"S-Formylglutathione","S-Formylglutathione","HMDB0001550","189122","C01031","N[C@@H](CCC(=O)N[C@@H](CSC=O)C(=O)NCC(O)=O)C(O)=O","1"
"N2-Fructopyranosylarginine","N2-Fructopyranosylarginine","HMDB0041541","75046985",NA,"NC(=N)NCCCC(NCC1(O)OCC(O)C(O)C1O)C(O)=O","1"
"6-cis-Docosenamide","NA","NA","NA","NA","NA","0"
"Perindoprilat","Perindoprilat","HMDB0060574","72022",NA,"CCC[C@H](N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(O)=O)C(O)=O","1"
"Melibiose","Melibiose","HMDB0000048","6602503","C05402","OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O","1"
"MG(18:2(9Z,12Z)/0:0/0:0)","NA","NA","NA","NA","NA","0"
"Robustone","NA","NA","NA","NA","NA","0"
"Kurchessine","NA","NA","NA","NA","NA","0"
"N(4)-acetylcytidine 5'-monophosphate residue","NA","NA","NA","NA","NA","0"
"7-Dehydrocholesterol","7-Dehydrocholesterol","HMDB0000032","439423","C01164","[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"Alexa Fluor 350","NA","NA","NA","NA","NA","0"
"Squalene","Squalene","HMDB0000256","638072","C00751","CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C","1"
"3a,7a-Dihydroxy-5b-cholestan-26-al","3a,7a-Dihydroxy-5b-cholestan-26-al","HMDB0006894","53477906","C05445","CC(CCCC(C)C1CCC2C3[C@H](O)CC4C[C@H](O)CC[C@]4(C)C3CC[C@]12C)C=O","1"
"Cajanone","Cajanone","HMDB0033804","325518",NA,"CC(C)=CCC1=CC(C2COC3=C(C2=O)C(O)=C2C=CC(C)(C)OC2=C3)=C(O)C=C1O","1"
"LSM-11961","NA","NA","NA","NA","NA","0"
"xestospongin C","NA","NA","NA","NA","NA","0"
"2-[(3R,6aS,8R,10aS)-3-hydroxy-1-[(4-methoxyphenyl)methyl]-3,4,6,6a,8,9,10,10a-octahydro-2H-pyrano[2,3-c][1,5]oxazocin-8-yl]-N-(2-pyrrolidin-1-ylethyl)acetamide","NA","NA","NA","NA","NA","0"
"Pubescenol","Pubescenol","HMDB0030085","131750955",NA,"CC(C1CCC2C3C(O)CC4C(O)CCC(=O)C4(C)C3CCC12C)C1CC2(C)OC2(C)C(=O)O1","1"
"Linolenyl myristate","NA","NA","NA","NA","NA","0"
"Tritriacontane-16,18-dione","tritriacontane-16,18-dione",NA,"154874","C08394","CCCCCCCCCCCCCCCC(=O)CC(=O)CCCCCCCCCCCCCCC","1"
"(19Z,22Z,25Z,28Z)-tetratriacontatetraenoate","NA","NA","NA","NA","NA","0"
"Linoleyl palmitatoleate","NA","NA","NA","NA","NA","0"
"beta-D-Galactopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranosyl-(1->6)-D-mannose","beta-D-Galactopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranosyl-(1->6)-D-mannose","HMDB0041224","131753074",NA,"NC1C(O)C(OC2OC(CO)C(O)C(O)C2O)C(CO)OC1OCC1OC(O)C(O)C(O)C1O","1"
"3-(3,4-dimethoxyphenyl)-7-methoxy-8-methyl-5-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4H-chromen-4-one","NA","NA","NA","NA","NA","0"
"milbemycin A3","NA","NA","NA","NA","NA","0"
"(18Z,21Z,24Z,27Z,30Z)-hexatriacontapentaenoate","NA","NA","NA","NA","NA","0"
"oleyl oleate","NA","NA","NA","NA","NA","0"
"stearyl oleate","NA","NA","NA","NA","NA","0"
"FAHFA(16:1(9Z)/13-O-18:0)","NA","NA","NA","NA","NA","0"
"Cohibin B","Cohibin B","HMDB0031169","131751148",NA,"CCCCCCCCCCCCCC\C=C/CCC(O)C(O)CCCCCCCCCCC1=CC(C)OC1=O","1"
"Artemoin A","Artemoin A","HMDB0033604","129011028",NA,"CCCCCCCCCCC(O)C(O)CCCCCCCCCCCCCCCCCCC1=CC(C)OC1=O","1"
"Aloinoside B","Aloinoside B","HMDB0035784","313324",NA,"CC1OC(OCC2=CC3=C(C(O)=C2)C(=O)C2=C(C=CC=C2O)C3C2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O","1"
"N-Stearoylsphingosine","Cer(d18:1/18:0)","HMDB0004950","5283565","C00195","[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"Dieporeticenin","Dieporeticenin","HMDB0029792","131750906",NA,"CCCCCCCCCC\C=C/CCC1OC1CCC1OC1CCCCCCCCCCCCC1=CC(C)OC1=O","1"
"DG(16:0/18:2(9Z,12Z)/0:0)","NA","NA","NA","NA","NA","0"
"Cohibin C","Cohibin C","HMDB0035397","131751737",NA,"CCCCCCCCCCCC\C=C/CCC(O)C(O)CCCCCCCCCCCCCCC1=CC(C)OC1=O","1"
"2-[(9S,11R)-epidioxy-(15S)-hydroperoxy-(5Z,13E)-prostadienoyl]-sn-glycero-3- phosphocholine","NA","NA","NA","NA","NA","0"
"Glycerol 1-(9Z-octadecenoate) 2-tetradecanoate 3-phosphate","Glycerol 1-(9Z-octadecenoate) 2-tetradecanoate 3-phosphate","HMDB0031131","131751138",NA,"CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C\CCCCCCCC)COP(O)(O)=O","1"
"2-amino-4-({1-[(carboxymethyl)-C-hydroxycarbonimidoyl]-2-[(4-{[8-(2-hydroxypropan-2-yl)-2-oxo-2H,8H,9H-furo[2,3-h]chromen-9-yl]oxy}-3-methyl-4-oxobutan-2-yl)sulfanyl]ethyl}-C-hydroxycarbonimidoyl)butanoic acid","NA","NA","NA","NA","NA","0"
"3-beta-Cellobiosylcellobiose","3-beta-Cellobiosylcellobiose","HMDB0039174","14841535",NA,"OCC1OC(OC2C(O)C(O)C(OC3C(O)C(CO)OC(OC4C(O)C(O)C(O)OC4CO)C3O)OC2CO)C(O)C(O)C1O","1"
"Citbismine C","Citbismine C","HMDB0041435","85149847",NA,"COC1=CC2=C(C(O)=C1C1C(OC3=C1C1=C(C(O)=C3)C(=O)C3=C(N1C)C(OC)=C(O)C=C3)C(C)(C)O)C(=O)C1=C(N2C)C(OC)=C(OC)C=C1","1"
"PE(20:4(5Z,8Z,11Z,14Z)/14:1(9Z))","NA","NA","NA","NA","NA","0"
"PE(16:1(9Z)/18:3(9Z,12Z,15Z))","NA","NA","NA","NA","NA","0"
"PG(16:1(9Z)/16:0)","NA","NA","NA","NA","NA","0"
"SM(d18:0/18:1(9Z))","NA","NA","NA","NA","NA","0"
"PC(16:0/16:1(9Z))","NA","NA","NA","NA","NA","0"
"PE(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)","NA","NA","NA","NA","NA","0"
"PE(18:2(9Z,12Z)/18:2(9Z,12Z))","NA","NA","NA","NA","NA","0"
"PS(15:0/20:4(5Z,8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"PS(15:0/20:3(8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"PC(18:2(9Z,12Z)/18:0)","NA","NA","NA","NA","NA","0"
"1-heptadecanoyl-2-arachidonoyl-sn-glycero-3-phosphoserine(1-)","NA","NA","NA","NA","NA","0"
"Tacrolimus","Tacrolimus","HMDB0015002","6473866",NA,"[H]\C(=C(\C)[C@@]1([H])OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@]([H])(C[C@@]2([H])C)OC)[C@]([H])(C[C@@]([H])(C)C\C(C)=C([H])/[C@@]([H])(CC=C)C(=O)C[C@]([H])(O)[C@@]1([H])C)OC)[C@]1([H])CC[C@@]([H])(O)[C@@]([H])(C1)OC","1"
"PI(16:0/16:1(9Z))","NA","NA","NA","NA","NA","0"
"PI(18:1(9Z)/16:0)","NA","NA","NA","NA","NA","0"
"PI(18:0/18:3(9Z,12Z,15Z))","NA","NA","NA","NA","NA","0"
"PI(18:2(9Z,12Z)/18:0)","NA","NA","NA","NA","NA","0"
"PI(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"CL(18:1(9Z)/18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/16:0)","NA","NA","NA","NA","NA","0"
"CL(18:0/18:0/18:1(9Z)/18:0)","NA","NA","NA","NA","NA","0"
"CL(18:0/18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/18:0)","NA","NA","NA","NA","NA","0"
