"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"2-hydroxystearate","2-Hydroxystearic acid","HMDB0062549","439887","C03045","CCCCCCCCCCCCCCCC[C@H](O)C(O)=O","1"
"2-linoleoylglycerol (18:2)","NA","NA","NA","NA","NA","0"
"2-oleoylglycerol (18:1)","NA","NA","NA","NA","NA","0"
"2-palmitoleoyl-GPC* (16:1)","NA","NA","NA","NA","NA","0"
"2-palmitoyl-GPC* (16:0)","NA","NA","NA","NA","NA","0"
"2-palmitoylglycerol (16:0)","NA","NA","NA","NA","NA","0"
"3-hydroxybutyrylcarnitine (2)","NA","NA","NA","NA","NA","0"
"3-hydroxypalmitate","3-Hydroxyhexadecanoic acid","HMDB0061658","10989404",NA,"CCCCCCCCCCCCC[C@H](O)CC(O)=O","1"
"3-hydroxypropanoate","Hydroxypropionic acid","HMDB0000700","68152","C01013","OCCC(O)=O","1"
"dihomolinoleate (20:2n6)","Dihomolinoleic acid","HMDB0061864","5282799",NA,"CCCCC\C=C/C=C\CCCCCCCCC(O)=O","1"
"dihomolinolenate (20:3n3 or 3n6)","NA","NA","NA","NA","NA","0"
"docosadienoate (22:2n6)","Docosadienoate (22:2n6)","HMDB0061714","5312554","C16533","CCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)=O","1"
"eicosapentaenoate (EPA; 20:5n3)","NA","NA","NA","NA","NA","0"
"eicosenoate (20:1n9 or 1n11)","NA","NA","NA","NA","NA","0"
"erucate (22:1n9)","NA","NA","NA","NA","NA","0"
"3-hydroxystearate","NA","NA","NA","NA","NA","0"
"5-HEPE","5-HEPE","HMDB0005081","6439678",NA,"CC\C=C/C\C=C/C\C=C/C\C=C/C=C/C(O)CCCC(O)=O","1"
"fucosterol","Fucosterol","HMDB0030021","131750945","C08817","C\C=C(\C(C)C)CC[C@@H](C)C1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C","1"
"8-hydroxyoctanoate","8-Hydroxyoctanoate","HMDB0061914","69820",NA,"OCCCCCCCC(O)=O","1"
"acetylcarnitine (C2)","NA","NA","NA","NA","NA","0"
"glutarate (pentanedioate)","NA","NA","NA","NA","NA","0"
"glycerol","Glycerol","HMDB0000131","753","C00116","OCC(O)CO","1"
"acetylcholine","Acetylcholine","HMDB0000895","187","C01996","CC(=O)OCC[N+](C)(C)C","1"
"adipate","Adipic acid","HMDB0000448","196","C06104","OC(=O)CCCCC(O)=O","1"
"glycerophosphoglycerol","Glycerophosphoglycerol","HMDB0240316","54575349",NA,"OC[C@H](O)COP(O)(=O)OC[C@H](O)CO","1"
"glycerophosphoinositol","Glycerophosphoinositol","HMDB0011649",NA,"C01225","OC[C@@H](O)COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"glycerophosphorylcholine (GPC)","NA","NA","NA","NA","NA","0"
"arachidonate (20:4n6)","NA","NA","NA","NA","NA","0"
"hexanoylcarnitine (C6)","NA","NA","NA","NA","NA","0"
"azelate (nonanedioate; C9)","NA","NA","NA","NA","NA","0"
"choline","Choline","HMDB0000097","305","C00114","C[N+](C)(C)CCO","1"
"glycerol 3-phosphate","Glycerol 3-phosphate","HMDB0000126","439162","C00093","OC[C@@H](O)COP(O)(O)=O","1"
"linoleate (18:2n6)","NA","NA","NA","NA","NA","0"
"linolenate (18:3n3 or 3n6)","NA","NA","NA","NA","NA","0"
"glycerophosphoethanolamine","Glycerylphosphorylethanolamine","HMDB0000114","123874","C01233","NCCOP(O)(=O)OCC(O)CO","1"
"malonate","Malonic acid","HMDB0000691","867","C00383","OC(=O)CC(O)=O","1"
"myristoleate (14:1n5)","NA","NA","NA","NA","NA","0"
"myristate (14:0)","NA","NA","NA","NA","NA","0"
"sphinganine","Sphinganine","HMDB0000269","91486","C00836","CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO","1"
"N-palmitoyl-sphinganine (d18:0/16:0)","NA","NA","NA","NA","NA","0"
"oleate/vaccenate (18:1)","NA","NA","NA","NA","NA","0"
"palmitate (16:0)","NA","NA","NA","NA","NA","0"
"palmitoleate (16:1n7)","NA","NA","NA","NA","NA","0"
"pentadecanoate (15:0)","NA","NA","NA","NA","NA","0"
"phosphoethanolamine (PE)","NA","NA","NA","NA","NA","0"
"stearidonate (18:4n3)","NA","NA","NA","NA","NA","0"
"suberate (octanedioate)","NA","NA","NA","NA","NA","0"
"2'-deoxyadenosine","Deoxyadenosine","HMDB0000101","13730","C00559","NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1","1"
"2'-deoxyadenosine 5'-monophosphate","Deoxyadenosine monophosphate","HMDB0000905","12599","C00360","NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1","1"
"2'-deoxycytidine","Deoxycytidine","HMDB0000014","13711","C00881","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1","1"
"dCMP","dCMP","HMDB0001202","13945","C00239","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1","1"
"2'-deoxyguanosine","Deoxyguanosine","HMDB0000085","187790","C00330","NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1","1"
"2'-deoxyguanosine 5'-monophosphate (dGMP)","NA","NA","NA","NA","NA","0"
"2'-deoxyinosine","Deoxyinosine","HMDB0000071","65058","C05512","OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O","1"
"2'-deoxyuridine","Deoxyuridine","HMDB0000012","13712","C00526","OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O","1"
"adenine","Adenine","HMDB0000034","190","C00147","NC1=C2NC=NC2=NC=N1","1"
"adenosine","Adenosine","HMDB0000050","60961","C00212","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"AMP","Adenosine monophosphate","HMDB0000045","6083","C00020","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"cytidine","Cytidine","HMDB0000089","6175","C00475","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"cytidine 2',3'-cyclic monophosphate","NA","NA","NA","NA","NA","0"
"CMP","Cytidine monophosphate","HMDB0000095","6131","C00055","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"cytosine","Cytosine","HMDB0000630","597","C00380","NC1=CC=NC(=O)N1","1"
"ectoine","NA","NA","NA","NA","NA","0"
"guanine","Guanine","HMDB0000132","764","C00242","NC1=NC(=O)C2=C(N1)N=CN2","1"
"guanosine","Guanosine","HMDB0000133","6802","C00387","NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1","1"
"guanosine-2',3'-cyclic monophosphate","NA","NA","NA","NA","NA","0"
"hypoxanthine","Hypoxanthine","HMDB0000157","790","C00262","OC1=NC=NC2=C1NC=N2","1"
"inosine","Inosine","HMDB0000195","6021","C00294","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12","1"
"inosine 5'-monophosphate (IMP)","NA","NA","NA","NA","NA","0"
"1-methyladenine","1-Methyladenine","HMDB0011599","78821","C02216","CN1C=NC2=NC=NC2=C1N","1"
"N-carbamoylaspartate","Ureidosuccinic acid","HMDB0000828","93072","C00438","NC(=O)N[C@@H](CC(O)=O)C(O)=O","1"
"1-methyladenosine","1-Methyladenosine","HMDB0003331","27476","C02494","CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N","1"
"N2,N2-dimethylguanine","NA","NA","NA","NA","NA","0"
"N2,N2-dimethylguanosine","N2,N2-Dimethylguanosine","HMDB0004824","92919",NA,"CN(C)C1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"N6-carbamoylthreonyladenosine","N6-Carbamoyl-L-threonyladenosine","HMDB0041623","92021849",NA,"C[C@@H](O)[C@H](NC(N)=O)C(=O)NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"N6-succinyladenosine","NA","NA","NA","NA","NA","0"
"2'-O-methyladenosine","2'-O-Methyladenosine","HMDB0004326","317398","C04779","COC1C(O)C(CO)OC1N1C=NC2=C(N)N=CN=C12","1"
"3-aminoisobutyrate","3-Aminoisobutanoic acid","HMDB0003911","64956","C05145","CC(CN)C(O)=O","1"
"3-ureidopropionate","Ureidopropionic acid","HMDB0000026","111","C02642","NC(=O)NCCC(O)=O","1"
"4-ureidobutyrate","NA","NA","NA","NA","NA","0"
"5-hydroxymethyluracil","5-Hydroxymethyluracil","HMDB0000469","78168","C03088","OCC1=CNC(=O)NC1=O","1"
"5-methyluridine (ribothymidine)","NA","NA","NA","NA","NA","0"
"orotate","Orotic acid","HMDB0000226","967","C00295","OC(=O)C1=CC(=O)NC(=O)N1","1"
"8-hydroxyguanine","8-Hydroxyguanine","HMDB0002032","65154","C20155","NC1=NC2=C(NC(=O)N2)C(=O)N1","1"
"2'-AMP","Adenosine monophosphate","HMDB0000045","6083","C00020","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"pseudouridine","Pseudouridine","HMDB0000767","15047","C02067","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O","1"
"3'-AMP","3'-AMP","HMDB0003540","41211","C01367","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1","1"
"adenosine-2',3'-cyclic monophosphate","NA","NA","NA","NA","NA","0"
"adenylosuccinate","Adenylsuccinic acid","HMDB0000536","447145","C03794","O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N[C@@H](CC(O)=O)C(O)=O","1"
"allantoic acid","Allantoic acid","HMDB0001209","203","C00499","NC(=O)NC(NC(N)=O)C(O)=O","1"
"allantoin","Allantoin","HMDB0000462","204","C02350","NC(=O)NC1NC(=O)NC1=O","1"
"beta-alanine","beta-Alanine","HMDB0000056","239","C00099","NCCC(O)=O","1"
"5'- GMP","NA","NA","NA","NA","NA","0"
"thymidine","Thymidine","HMDB0000273","5789","C00214","CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O","1"
"TMP","5-Thymidylic acid","HMDB0001227","9700","C00364","CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O","1"
"uracil","Uracil","HMDB0000300","1174","C00106","O=C1NC=CC(=O)N1","1"
"urate","Uric acid","HMDB0000289","1175","C00366","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"uridine","Uridine","HMDB0000296","6029","C00299","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"UMP","Uridine 5'-monophosphate","HMDB0000288","6030","C00105","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"uridine-2',3'-cyclic monophosphate","NA","NA","NA","NA","NA","0"
"xanthine","Xanthine","HMDB0000292","1188","C00385","O=C1NC2=C(NC=N2)C(=O)N1","1"
"glutamine-leucine","NA","NA","NA","NA","NA","0"
"glycylleucine","Glycylleucine","HMDB0000759","92843","C02155","CC(C)C[C@H](NC(=O)CN)C(O)=O","1"
"glycylvaline","Glycylvaline","HMDB0028854","2724807",NA,"CC(C)[C@H](NC(=O)CN)C(O)=O","1"
"isoleucylglycine","Isoleucyl-Glycine","HMDB0028907","342532",NA,"CCC(C)C(N)C(=O)NCC(O)=O","1"
"leucylalanine","Leucylalanine","HMDB0028922","81721",NA,"CC(C)C[C@H](N)C(=O)N[C@@H](C)C(O)=O","1"
"leucylglycine","Glycylleucine","HMDB0000759","92843","C02155","CC(C)C[C@H](NC(=O)CN)C(O)=O","1"
"lysylleucine","Lysylleucine","HMDB0028955","7016103",NA,"CC(C)C[C@H](NC(=O)[C@@H](N)CCCCN)C(O)=O","1"
"phenylalanylalanine","Phenylalanylalanine","HMDB0028988","5488196",NA,"C[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O","1"
"phenylalanylglycine","Phenylalanylglycine","HMDB0028995","6992303",NA,"N[C@@H](CC1=CC=CC=C1)C(=O)NCC(O)=O","1"
"prolylhydroxyproline","Prolylhydroxyproline","HMDB0006695","11902892",NA,"O[C@@H]1C[C@H](N(C1)C(=O)[C@@H]1CCCN1)C(O)=O","1"
"prolylglycine","Prolylglycine","HMDB0011178","6426709",NA,"OC(=O)CNC(=O)[C@@H]1CCCN1","1"
"alanylleucine","Alanylleucine","HMDB0028691","96801",NA,"CC(C)C[C@H](NC(=O)[C@H](C)N)C(O)=O","1"
"tyrosylglycine","Tyrosylglycine","HMDB0029105","7021853",NA,"N[C@@H](CC1=CC=C(O)C=C1)C(=O)NCC(O)=O","1"
"valylglutamine","Valylglutamine","HMDB0029125","7016044",NA,"CC(C)[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(O)=O","1"
"valylglycine","Valylglycine","HMDB0029127","6993110",NA,"CC(C)[C@H](N)C(=O)NCC(O)=O","1"
"valylleucine","Valylleucine","HMDB0029131","6993117",NA,"CC(C)C[C@H](NC(=O)[C@@H](N)C(C)C)C(O)=O","1"
"benzene-1,3,5-triol","1,3,5-Trihydroxybenzene","HMDB0013675","359","C02183","OC1=CC(O)=CC(O)=C1","1"
"2,4,6-trihydroxybenzoate","2,4,6-Trihydroxybenzoic acid","HMDB0029649","66520",NA,"OC(=O)C1=C(O)C=C(O)C=C1O","1"
"3-hydroxy-3-methylglutarate","3-Hydroxymethylglutaric acid","HMDB0000355","1662","C03761","CC(O)(CC(O)=O)CC(O)=O","1"
"beta-carotene","beta-Carotene","HMDB0000561","5280489","C02094","C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C","1"
"tryptophan betaine","Lenticin","HMDB0061115","442106","C09213","C[N+](C)(C)[C@@H](CC1=CNC2=CC=CC=C12)C([O-])=O","1"
"trimethylamine N-oxide","Trimethylamine N-oxide","HMDB0000925","1145","C01104","C[N+](C)(C)[O-]","1"
