Query,Match,HMDB,PubChem,KEGG,SMILES,Comment,MetaNetX
UTP,Uridine triphosphate,HMDB0000285,6133,C00075,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O,1,MNXM1101474
dCTP,dCTP,HMDB0000998,65091,C00458,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1,1,MNXM360
TTP,Thymidine 5'-triphosphate,HMDB0001342,64968,C00459,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O,1,MNXM148527
Myo-inositol tetraphosphate,,,,,,0,MNXM1363875
UTP isotope,,,,,,0,MNXM1101474
dATP,Deoxyadenosine triphosphate,HMDB0001532,15993,C00131,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1,1,MNXM286
PAPS,Phosphoadenosine phosphosulfate,HMDB0001134,10214,C00053,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1,1,MNXM1104555
dGTP,dGTP,HMDB0001440,65103,C00286,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)N1,1,MNXM344
Inosine triphosphate,Inosine triphosphate,HMDB0000189,8583,C00081,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O,1,MNXM1103428
ATP isotope,,,,,,0,MNXM3
GTP,Guanosine triphosphate,HMDB0001273,6830,C00044,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1,1,MNXM1103553
cADP-pentose,,,,,,0,MNXM1372146;MNXM1372145
UDP-pentose,,,,,,0,MNXM744971
cADP-Pentose,,,,,,0,MNXM1372146;MNXM1372145
ADP-Pentose,,,,,,0,MNXM1508738
Phosphopentosyl-AMP,,,,,,0,N/A
dTDP-Hexose,,,,,,0,MNXM728217;MNXM1105949
"GDP-3,6-dideoxy-D-Hexose",,,,,,0,MNXM54799
Biotinyl-5-AMP,,,,,,0,MNXM1104306
dTDP-D-Hexose,,,,,,0,MNXM728217;MNXM1105949
UDP-Hexose,,,,,,0,MNXM1561655;MNXM739642;MNXM1364019
UDP-Hexose isotope,,,,,,0,MNXM1561655;MNXM739642;MNXM1364019
UDP-Hexuronate,,,,,,0,N/A
UDP-Hexuronate isotope,,,,,,0,N/A
Stearoylglycerophosphoinositol,,,,,,0,MNXM150643;MNXM1560696;MNXM1106088
Adenosine tetraphosphate,Adenosine tetraphosphate,HMDB0001364,14003,C03483,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,1,MNXM1906
GDP-L-fucose,GDP-L-fucose,HMDB0001095,439211,C00325,C[C@@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=C(N)NC3=O)[C@@H](O)[C@H](O)[C@@H]1O,1,MNXM1106004;MNXM1364175;MNXM731357
UDP-HexNAc 1 -Oleoylglycerophosphoinositol,,,,,,0,N/A
GDP-Hexose,,,,,,0,MNXM54810
UDP-HexNAc,,,,,,0,MNXM736712;MNXM1104529
UDP-HexNAc isotope,,,,,,0,MNXM736712;MNXM1104529
GSSG,Oxidized glutathione,HMDB0003337,65359,C00127,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O,1,MNXM1371191
ADP-ribose 1-2 cyclic phosphate,,,,,,0,MNXM40338;MNXM6154;MNXM1371013;MNXM1371014
UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate,METPA0513,,C04573,,1,MNXM740283
ADP-ribose 2-phosphate,,,,,,0,MNXM1106059
FAD,FAD,HMDB0001248,643975,C00016,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2,1,MNXM1364149
CoA,Coenzyme A,HMDB0001423,87642,C00010,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS,1,MNXM727276;MNXM727278
C18:0,Stearic acid,HMDB0000827,5281,C01530,CCCCCCCCCCCCCCCCCC(O)=O,1,MNXM236
C16:0,Palmitic acid,HMDB0000220,985,C00249,CCCCCCCCCCCCCCCC(O)=O,1,MNXM108
Glycerophospholipid,glycerophospholipid,,,,,1,MNXM742070;MNXM55319
Aceto-acetyl COA,,,,,,0,N/A
Phosphatidylinositol,,,,,,0,MNXM1106972;MNXM730331;MNXM730339
Phosphatidylinositol isotope,,,,,,0,MNXM1106972;MNXM730331;MNXM730339
D-GIucosamine 6-phosphate,,,,,,0,MNXM1104065
N-Acetylaspartylglutamate,N-Acetylaspartylglutamic acid,HMDB0001067,188803,C12270,CC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O,1,MNXM1371055
3-Carbamoyl-2-phenylpropionic acid,3-Carbamoyl-2-phenylpropionic acid,HMDB0060367,3025746,C16591,OC(=N)OCC(C(O)=O)C1=CC=CC=C1,1,MNXM6085
N-Fonnimino-L-glutamate,,,,,,0,MNXM148372;MNXM90092;MNXM496
"S-2,3,4,5-Tetrahydropyridine-2-carboxylate",,,,,,0,MNXM748
"1 -N tro-5-hydroxy-6-glutathionyl-5,6-dihydronphthalene",,,,,,0,N/A
Deoxyribose,Deoxyribose,HMDB0003224,22833604,C01801,OC[C@@H]1O[C@H](O)C[C@H]1O,1,MNXM731179
Uridine,Uridine,HMDB0000296,6029,C00299,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,1,MNXM1103104
Indole-3-acetaldehyde,Indoleacetaldehyde,HMDB0001190,800,C00637,O=CCC1=CNC2=C1C=CC=C2,1,MNXM518
5-HydroxyindoIeacetaldehyde,,,,,,0,N/A
Pyridoxine,Pyridoxine,HMDB0000239,1054,C00314,CC1=C(O)C(CO)=C(CO)C=N1,1,MNXM419
NH3,Ammonia,HMDB0000051,222,C00014,N,1,MNXM729302
Ileucinc,,,,,,0,N/A
Histamine,Histamine,HMDB0000870,774,C00388,NCCC1=CNC=N1,1,MNXM635
L-Glycine,,,,,,0,MNXM12053
L-leucine,Leucine,HMDB0000687,6106,C00123,CC(C)C[C@H](N)C(O)=O,1,MNXM1106761
L-phenylalanine,Phenylalanine,HMDB0000159,6140,C00079,N[C@@H](CC1=CC=CC=C1)C(O)=O,1,MNXM741664
L-cysteine,L-Cysteine,HMDB0000574,5862,C00097,N[C@@H](CS)C(O)=O,1,MNXM738068
L-histidine,Histidine,HMDB0000177,6274,C00135,N[C@@H](CC1=CN=CN1)C(O)=O,1,MNXM1107769
3-phosphoglycerate,3-Phosphoglyceric acid,HMDB0000807,724,C00597,OC(COP(O)(O)=O)C(O)=O,1,MNXM727605
phosphoenolpyruvate,Phosphoenolpyruvic acid,HMDB0000263,1005,C00074,OC(=O)C(=C)OP(O)(O)=O,1,MNXM73
glyceraldehyde 3-phosphate,Glyceraldehyde 3-phosphate,HMDB0001112,439168,C00118,O[C@H](COP(O)(O)=O)C=O,1,MNXM1372044
L-glutamate,L-Glutamate,,,C00025,,1,MNXM741173
Adenylosuccinatete,,,,,,0,MNXM1103622;MNXM1508076
S-Lactate,,,,,,0,MNXM1093274
3-Phosphoglyceric acid,3-Phosphoglyceric acid,HMDB0000807,724,C00597,OC(COP(O)(O)=O)C(O)=O,1,MNXM727604
Aconitate,cis-Aconitic acid,HMDB0000072,643757,C00417,OC(=O)C\C(=C\C(O)=O)C(O)=O,1,MNXM1092518
Guanine,Guanine,HMDB0000132,764,C00242,NC1=NC(=O)C2=C(N1)N=CN2,1,MNXM733114
Phosphoenolpyruvate,Phosphoenolpyruvic acid,HMDB0000263,1005,C00074,OC(=O)C(=C)OP(O)(O)=O,1,MNXM73
Glyceraldehyde 3-phosphate,Glyceraldehyde 3-phosphate,HMDB0001112,439168,C00118,O[C@H](COP(O)(O)=O)C=O,1,MNXM1372044
Acetyl-CoA,Acetyl-CoA,HMDB0001206,444493,C00024,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,1,MNXM1104266
Sedoheptulose 7-phosphate,,,,,,0,MNXM1512793
2-oxoglutarate,Oxoglutaric acid,HMDB0000208,51,C00026,OC(=O)CCC(=O)C(O)=O,1,MNXM1368744
"D-Fructose 1,6-bisphosphate","Fructose 1,6-bisphosphate",HMDB0001058,10267,C00354,O[C@H]1[C@H](O)[C@@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O,1,MNXM155028
D-Fructose 6-phosphate,Fructose 6-phosphate,HMDB0000124,69507,C00085,OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,1,MNXM155029;MNXM1555902
D-Ribose 5-phosphate,D-Ribose 5-phosphate,HMDB0001548,440101,C00117,O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1,MNXM1363912
D-Glucose 6-phosphate,Glucose 6-phosphate,HMDB0001401,5958,C00092,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,1,MNXM1364111
D-Xylulose 5-phosphate,Xylulose 5-phosphate,HMDB0000868,439190,C00231,OCC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,1,MNXM186
D-Ribulose 5-phosphate,D-Ribulose 5-phosphate,HMDB0000618,439184,C00199,OCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O,1,MNXM145
D-Erythrose 4-phosphate,D-Erythrose 4-phosphate,HMDB0001321,122357,C00279,O[C@H](COP(O)(O)=O)[C@@H](O)C=O,1,MNXM258
pyruvate,Pyruvic acid,HMDB0000243,1060,C00022,CC(=O)C(O)=O,1,MNXM23
dihydroxyacetone phosphate,Dihydroxyacetone phosphate,HMDB0001473,668,C00111,OCC(=O)COP(O)(O)=O,1,MNXM77
L-Serine,Serine,HMDB0000187,5951,C00065,N[C@@H](CO)C(O)=O,1,MNXM737787
L-Asparagine,L-Asparagine,HMDB0000168,6267,C00152,N[C@@H](CC(N)=O)C(O)=O,1,MNXM1107821
L-Leucine,Leucine,HMDB0000687,6106,C00123,CC(C)C[C@H](N)C(O)=O,1,MNXM1106761
L-Tryptophan,L-Tryptophan,HMDB0000929,6305,C00078,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,1,MNXM741553
L-Phenylalanine,Phenylalanine,HMDB0000159,6140,C00079,N[C@@H](CC1=CC=CC=C1)C(O)=O,1,MNXM741664
L-Cysteine,L-Cysteine,HMDB0000574,5862,C00097,N[C@@H](CS)C(O)=O,1,MNXM738068
D-Glucose 1-phosphate,D-Glucose 1-phosphate,,3403,C00103,,1,MNXM1364214
L-Tyrosine,L-Tyrosine,HMDB0000158,6057,C00082,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,1,MNXM76
L-Arginine,L-Arginine,HMDB0000517,6322,C00062,N[C@@H](CCCNC(N)=N)C(O)=O,1,MNXM739527
L-Aspartic acid,L-Aspartic acid,HMDB0000191,5960,C00049,N[C@@H](CC(O)=O)C(O)=O,1,MNXM1364497
L-Glutamate,L-Glutamate,,,C00025,,1,MNXM741173
L-Proline,Proline,HMDB0000162,145742,C00148,OC(=O)[C@@H]1CCCN1,1,MNXM114
L-Alanine,L-Alanine,HMDB0000161,5950,C00041,C[C@H](N)C(O)=O,1,MNXM1105732
