"Gene ID","Organism","Genomic Location (Gene)","Product Description","Gene Name or Symbol","Entrez Gene ID","UniProt ID(s)"
"AAEL007278","Aedes aegypti LVP_AGWG","AaegL5_2:311,186,996..311,450,362(-)","defective proboscis extension response, putative","N/A","5568978","A0A1S4FFZ2,Q172U7"
"AAEL007279","Aedes aegypti LVP_AGWG","AaegL5_2:312,466,403..312,474,075(-)","unspecified product","N/A","5568982,5568982","Q172U0"
"AAEL007280","Aedes aegypti LVP_AGWG","AaegL5_3:196,714,879..196,732,607(-)","unspecified product","N/A","5568991","N/A"
"AAEL007281","Aedes aegypti LVP_AGWG","AaegL5_3:196,223,235..196,299,101(+)","stretchin-mlck","N/A","5569002","A0A1S4FFZ7,Q172S1"
"AAEL007282","Aedes aegypti LVP_AGWG","AaegL5_3:195,956,964..195,995,815(-)","syntaxin binding protein-1,2,3","N/A","5569005,5569005","Q172R5,Q172R6,Q172R7"
"AAEL007283","Aedes aegypti LVP_AGWG","AaegL5_3:196,397,648..196,440,072(+)","acetyl-coa synthetase","N/A","5569000","A0A1S4FG66,Q172S4"
"AAEL007284","Aedes aegypti LVP_AGWG","AaegL5_3:196,315,889..196,328,923(-)","serine/threonine-protein kinase pk61c","N/A","5569001,5569001","Q172S2"
"AAEL007285","Aedes aegypti LVP_AGWG","AaegL5_3:196,936,447..197,065,486(+)","unspecified product","N/A","5568992","Q172T6"
"AAEL007286","Aedes aegypti LVP_AGWG","AaegL5_3:195,539,199..195,550,858(+)","arginine-rich protein, putative","Manf","5569016,5569016","Q1HRA5"
"AAEL007288","Aedes aegypti LVP_AGWG","AaegL5_3:195,590,444..195,649,795(-)","dynamin","N/A","5569014,5569014","N/A"
"AAEL007289","Aedes aegypti LVP_AGWG","AaegL5_3:196,733,986..196,756,063(+)","NBP2b protein, putative","N/A","5568987,5568987","Q172T3"
"AAEL007290","Aedes aegypti LVP_AGWG","AaegL5_3:196,539,303..196,606,591(+)","unspecified product","N/A","5568996","Q172S7,Q172S8,Q172S9"
"AAEL007291","Aedes aegypti LVP_AGWG","AaegL5_2:253,719,479..253,720,139(-)","replication factor A, 14kD-subunit, putative","N/A","5569011,5569011","Q172R0"
"AAEL007292","Aedes aegypti LVP_AGWG","AaegL5_3:195,776,630..195,799,929(-)","unspecified product","N/A","5569012","Q172Q9"
"AAEL007293","Aedes aegypti LVP_AGWG","AaegL5_3:195,565,376..195,581,654(-)","cAMP-dependent protein kinase catalytic subunit","N/A","5569015,5569015","Q1HQW4"
"AAEL007295","Aedes aegypti LVP_AGWG","AaegL5_3:196,884,868..196,919,060(-)","F-box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4FG16]","N/A","5568990","A0A1S4FG16,Q172T5"
"AAEL007296","Aedes aegypti LVP_AGWG","AaegL5_3:195,925,868..195,943,142(+)","Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:Q172R4]","N/A","5569007,5569007","Q172R4"
"AAEL007298","Aedes aegypti LVP_AGWG","AaegL5_3:195,685,730..195,752,375(+)","Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:Q172Q8]","N/A","5569013,5569013","Q172Q8"
"AAEL007299","Aedes aegypti LVP_AGWG","AaegL5_3:195,907,970..195,920,927(-)","Cadherin, putative [Source:UniProtKB/TrEMBL;Acc:A0A1S4FG21]","N/A","5569008","A0A1S4FG21,Q172R3"
"AAEL007301","Aedes aegypti LVP_AGWG","AaegL5_3:196,032,125..196,061,029(+)","unspecified product","N/A","5569004,5569004","N/A"
"AAEL007302","Aedes aegypti LVP_AGWG","AaegL5_3:197,100,702..197,235,048(-)","unspecified product","N/A","5568988","Q172T8"
"AAEL007303","Aedes aegypti LVP_AGWG","AaegL5_3:196,023,597..196,047,688(-)","unspecified product","N/A","5569017","A0A1S4FGC8,Q172R8"
"AAEL007304","Aedes aegypti LVP_AGWG","AaegL5_3:196,356,642..196,382,417(+)","unspecified product","N/A","5568999","N/A"
"AAEL007305","Aedes aegypti LVP_AGWG","AaegL5_3:196,066,104..196,169,593(-)","unspecified product","N/A","5569003","A0A1S4FG50,Q172S0"
"AAEL007306","Aedes aegypti LVP_AGWG","AaegL5_3:196,805,951..196,846,237(+)","alpha-actinin","N/A","5568986","Q172T4"
"AAEL007307","Aedes aegypti LVP_AGWG","AaegL5_3:195,816,045..195,826,895(-)","unspecified product","N/A","5569010","A0A1S4FG96,Q172R1"
"AAEL007309","Aedes aegypti LVP_AGWG","AaegL5_3:197,078,634..197,092,076(-)","unspecified product","N/A","5568989,5568989","Q172T7"
"AAEL007310","Aedes aegypti LVP_AGWG","AaegL5_3:196,505,075..196,536,283(-)","unspecified product","N/A","5568995","A0A0P6IVM0,A0A1S4FG53,Q172S6"
"AAEL007311","Aedes aegypti LVP_AGWG","AaegL5_2:150,529,516..150,551,762(-)","unspecified product","N/A","5569020,5569020","A0A1S4FPS2,Q16I42,Q16TM6,Q16ZQ3,Q172Q1"
"AAEL007312","Aedes aegypti LVP_AGWG","AaegL5_2:343,131,520..343,147,753(-)","unspecified product","N/A","5569018","A0A1S4FGA1,Q172P8"
"AAEL007313","Aedes aegypti LVP_AGWG","AaegL5_2:222,493,059..222,508,619(+)","unspecified product","N/A","5569027","Q172P4"
"AAEL007314","Aedes aegypti LVP_AGWG","AaegL5_2:222,393,077..222,398,296(-)","unspecified product","N/A","5569025","A0A1S4FG36,Q172P5"
"AAEL007315","Aedes aegypti LVP_AGWG","AaegL5_2:342,936,542..343,112,587(+)","symbol, putative","N/A","5579488","Q172P9,Q1DH24"
"AAEL007316","Aedes aegypti LVP_AGWG","AaegL5_2:222,618,595..222,708,013(+)","unspecified product","N/A","5569028,5569028","Q172P2"
"AAEL007317","Aedes aegypti LVP_AGWG","AaegL5_2:222,738,518..222,742,427(-)","unspecified product","N/A","5569030","N/A"
"AAEL007318","Aedes aegypti LVP_AGWG","AaegL5_2:342,888,115..342,889,570(+)","unspecified product","N/A","5569024,5569024","Q16HF0,Q172Q0"
"AAEL007319","Aedes aegypti LVP_AGWG","AaegL5_2:222,019,537..222,203,364(-)","unspecified product","N/A","5569022","Q172P6"
"AAEL007321","Aedes aegypti LVP_AGWG","AaegL5_2:222,733,399..222,734,977(+)","unspecified product","N/A","5569029,5569029","Q172P1"
"AAEL007322","Aedes aegypti LVP_AGWG","AaegL5_2:222,535,217..222,598,907(+)","phosphatidate phosphatase","N/A","5569026,5569026","Q172P3"
"AAEL007328","Aedes aegypti LVP_AGWG","AaegL5_2:345,250,806..345,265,366(+)","unspecified product","N/A","5569034,5569034","Q172N4"
"AAEL007329","Aedes aegypti LVP_AGWG","AaegL5_2:345,125,321..345,210,293(+)","unspecified product","N/A","5569043","Q172M7"
"AAEL007332","Aedes aegypti LVP_AGWG","AaegL5_2:345,219,785..345,227,352(-)","cornichon protein, putative","N/A","5569042,5569042","Q172M8,Q172N0"
"AAEL007339","Aedes aegypti LVP_AGWG","AaegL5_2:345,514,998..345,516,037(-)","unspecified product","N/A","5569037,5569037","Q172N7,Q178W6,Q178W7,Q178W8"
"AAEL007342","Aedes aegypti LVP_AGWG","AaegL5_2:344,564,154..344,600,647(+)","unspecified product","N/A","5569049","A0A1S4FG68,Q172M1"
"AAEL007343","Aedes aegypti LVP_AGWG","AaegL5_1:271,773,455..271,783,921(+)","unspecified product","N/A","5569056,5569056","Q16LX6,Q172L5"
"AAEL007344","Aedes aegypti LVP_AGWG","AaegL5_2:344,610,452..344,612,034(+)","LITAF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4FG64]","N/A","5569048","A0A1S4FG64,Q172M2"
"AAEL007349","Aedes aegypti LVP_AGWG","AaegL5_2:344,515,088..344,525,588(+)","unspecified product","N/A","5569050","Q172M0"
"AAEL007351","Aedes aegypti LVP_AGWG","AaegL5_3:123,149,913..123,150,881(-)","unspecified product","N/A","5569090","A0A1S4FG69,Q172K8"
"AAEL007353","Aedes aegypti LVP_AGWG","AaegL5_3:123,120,922..123,147,966(+)","cullin","N/A","5569092","Q172K9"
"AAEL007354","Aedes aegypti LVP_AGWG","AaegL5_3:123,215,811..123,217,413(-)","pseudouridylate synthase","N/A","5569093,5569093","Q172K2"
"AAEL007355","Aedes aegypti LVP_AGWG","AaegL5_3:123,157,233..123,157,920(-)","mitochondrial ribosomal protein, S18A, putative","mRpS18A","5569091,5569091","Q172K6"
"AAEL007356","Aedes aegypti LVP_AGWG","AaegL5_3:123,194,502..123,195,907(+)","unspecified product","N/A","5569097,5569097","Q172K4,Q172K5"
"AAEL007357","Aedes aegypti LVP_AGWG","AaegL5_3:123,155,856..123,157,090(+)","unspecified product","N/A","5569094,5569094","Q172K7"
"AAEL007360","Aedes aegypti LVP_AGWG","AaegL5_3:122,902,808..122,935,638(+)","lethal(3)malignant brain tumor","N/A","5569096","A0A0P6J537,Q172L2,Q1DGU1"
"AAEL007363","Aedes aegypti LVP_AGWG","AaegL5_3:122,948,886..123,046,925(+)","leucine-rich transmembrane protein","N/A","5569088","N/A"
"AAEL007364","Aedes aegypti LVP_AGWG","AaegL5_3:123,076,165..123,103,765(+)","7,8-dihydro-8-oxoguanine-triphosphatase, putative [Source:UniProtKB/TrEMBL;Acc:Q172L0]","N/A","5569095,5569095","Q172L0"
"AAEL007366","Aedes aegypti LVP_AGWG","AaegL5_2:233,232,110..233,237,078(+)","unspecified product","N/A","5569120","A0A1S4FGA5,Q172H7"
"AAEL007367","Aedes aegypti LVP_AGWG","AaegL5_2:233,418,462..233,419,177(-)","unspecified product","N/A","5569116","A0A1S4FG83,Q172I4"
"AAEL007368","Aedes aegypti LVP_AGWG","AaegL5_2:233,829,868..233,843,962(+)","unspecified product","N/A","5569111","A0A1S4FGF4,Q172I9"
"AAEL007369","Aedes aegypti LVP_AGWG","AaegL5_2:233,754,978..233,759,113(-)","homeobox protein even skipped","N/A","5569112","A0A1S4FGJ3,Q172I8"
"AAEL007370","Aedes aegypti LVP_AGWG","AaegL5_2:233,408,795..233,409,734(+)","unspecified product","N/A","5569117","A0A1S4FG94,Q172I3"
"AAEL007371","Aedes aegypti LVP_AGWG","AaegL5_2:234,467,033..234,467,754(+)","unspecified product","N/A","5569107","Q172J4"
"AAEL007372","Aedes aegypti LVP_AGWG","AaegL5_2:233,902,013..234,375,276(-)","GPCR GABA B Family","GPRGBB1","5569106","A0A1S4FG88,Q172J2"
"AAEL007373","Aedes aegypti LVP_AGWG","AaegL5_2:233,438,871..233,481,389(+)","ammonium transporter","N/A","5569115","Q172I5"
"AAEL007374","Aedes aegypti LVP_AGWG","AaegL5_2:233,852,132..233,883,110(-)","yellow protein precursor, putative","N/A","5569110","A0A1S4FGJ8,Q172J0"
"AAEL007375","Aedes aegypti LVP_AGWG","AaegL5_2:233,362,885..233,408,073(-)","pyruvate dehydrogenase","N/A","5569118,5569118","Q172H9,Q172I0,Q172I2"
"AAEL007377","Aedes aegypti LVP_AGWG","AaegL5_2:233,533,264..233,542,599(+)","ammonium transporter","N/A","5569114,5569114","Q172I6,Q1L727"
"AAEL007378","Aedes aegypti LVP_AGWG","AaegL5_2:233,550,687..233,585,698(+)","unspecified product","N/A","5569113","A0A1S4FGC1,Q172I7"
"AAEL007381","Aedes aegypti LVP_AGWG","AaegL5_2:234,447,361..234,456,696(+)","unspecified product","N/A","5569108","A0A1S4FGK8,Q16F94,Q172J3"
"AAEL007382","Aedes aegypti LVP_AGWG","AaegL5_2:233,265,211..233,334,182(-)","serine-threonine kinase receptor-associated protein (strap)","N/A","5569119,5569119","Q1HQK6"
"AAEL007383","Aedes aegypti LVP_AGWG","AaegL5_1:259,803,289..259,804,730(+)","secreted ferritin G subunit precursor, putative","N/A","5569122,5569122","Q172H3"
"AAEL007385","Aedes aegypti LVP_AGWG","AaegL5_1:259,794,712..259,803,138(-)","Ferritin subunit Precursor (EC 1.16.3.1)(Ferritin heavy chain-like protein)(AeFer(H))","N/A","5569124","P41822"
"AAEL007386","Aedes aegypti LVP_AGWG","AaegL5_1:259,773,870..259,780,771(+)","unspecified product","N/A","5569127","A0A1S4FGL8,Q172H0"
"AAEL007387","Aedes aegypti LVP_AGWG","AaegL5_1:259,840,307..259,855,535(-)","unspecified product","N/A","5569123","A0A1S4FGC0,Q172H4"
"AAEL007388","Aedes aegypti LVP_AGWG","AaegL5_1:60,809,841..60,866,435(-)","unspecified product","N/A","5569126","A0A0P6J5N2,A0A1S4FGD6,Q172G9"
"AAEL007389","Aedes aegypti LVP_AGWG","AaegL5_1:259,865,468..259,866,849(+)","long wavelength sensitive opsin","GPROP7","5569125","A0A1S4FGB2,Q172H5"
"AAEL007390","Aedes aegypti LVP_AGWG","AaegL5_3:408,308,997..408,317,909(-)","UDP-glucose 4-epimerase","N/A","5569141,5569141","Q172F3"
"AAEL007391","Aedes aegypti LVP_AGWG","AaegL5_3:407,451,434..407,498,482(-)","unspecified product","N/A","5569132","Q172G2"
"AAEL007392","Aedes aegypti LVP_AGWG","AaegL5_3:408,154,658..408,165,224(-)","mitochondrial import receptor subunit tom20","N/A","5569144","Q172F6"
"AAEL007393","Aedes aegypti LVP_AGWG","AaegL5_3:408,015,526..408,039,056(-)","unspecified product","N/A","5569138,5569138","Q172F9"
"AAEL007394","Aedes aegypti LVP_AGWG","AaegL5_3:408,500,467..408,501,376(+)","unspecified product","N/A","5569140,5569140","Q172F2,Q1HRR6"
"AAEL007395","Aedes aegypti LVP_AGWG","AaegL5_3:407,353,787..407,379,707(-)","unspecified product","N/A","5569134","A0A1S4FGM8,Q172G5"
"AAEL007397","Aedes aegypti LVP_AGWG","AaegL5_3:407,728,613..407,968,714(+)","Ecdysone-induced protein 75B isoform A Nuclear receptor","E75","5569135","N/A"
"AAEL007398","Aedes aegypti LVP_AGWG","AaegL5_3:408,098,838..408,099,632(-)","unspecified product","N/A","5569136,5569136","Q172F8"
"AAEL007401","Aedes aegypti LVP_AGWG","AaegL5_3:408,058,125..408,105,718(+)","roundabout, putative","N/A","5569137","Q172F7"
"AAEL007403","Aedes aegypti LVP_AGWG","AaegL5_3:408,189,701..408,229,676(+)","unspecified product","N/A","5569143,5569143","Q172F5"
"AAEL007404","Aedes aegypti LVP_AGWG","AaegL5_3:408,248,023..408,300,287(-)","unspecified product","N/A","5569142","N/A"
"AAEL007407","Aedes aegypti LVP_AGWG","AaegL5_2:12,322,200..12,621,188(+)","unspecified product","N/A","5569145","Q172E8,Q172E9,Q172F0"
"AAEL007409","Aedes aegypti LVP_AGWG","AaegL5_2:12,664,435..12,679,523(-)","xylosyltransferase","N/A","5569146","A0A0P6K152,A0A1S4FGE5,Q172E6"
"AAEL007410","Aedes aegypti LVP_AGWG","AaegL5_2:12,635,148..12,655,531(-)","Inhibitor-2, putative","N/A","5569147,5569147","N/A"
"AAEL007414","Aedes aegypti LVP_AGWG","AaegL5_2:134,622,167..134,632,748(+)","unspecified product","N/A","5569174","A0A1S4FGF0,Q0IF05,Q1DGW8"
"AAEL007420","Aedes aegypti LVP_AGWG","AaegL5_2:134,993,302..134,995,567(+)","Serine Protease Inhibitor (serpin) homologue - unlikely to be inhibitory","SRPN25","5569171","A0A1S4FGH1,O76292,Q1HRV7"
"AAEL007422","Aedes aegypti LVP_AGWG","AaegL5_2:134,680,805..134,682,141(-)","cp27, putative","N/A","5569162","A0A1S4FGL9,Q0IF03"
"AAEL007423","Aedes aegypti LVP_AGWG","AaegL5_2:134,750,335..134,752,004(-)","unspecified product","N/A","5569167,5569167","Q0IEZ9"
"AAEL007424","Aedes aegypti LVP_AGWG","AaegL5_2:134,885,436..134,894,989(+)","phospholipid scramblase, putative","N/A","5569170","A0A1S4FGG0,Q0IEZ5"
"AAEL007431","Aedes aegypti LVP_AGWG","AaegL5_2:134,748,684..134,749,126(+)","unspecified product","N/A","5569166,5569166","Q0IF00"
"AAEL007432","Aedes aegypti LVP_AGWG","AaegL5_2:134,860,599..134,861,556(+)","serine collagenase 1 precursor, putative","N/A","5569168,5569168","C8CGF1,Q0IEZ7"
"AAEL007434","Aedes aegypti LVP_AGWG","AaegL5_2:291,010,270..291,011,493(-)","testis-specific serine/threonine kinase 22c","N/A","5569177,5569177","Q172E2"
"AAEL007437","Aedes aegypti LVP_AGWG","AaegL5_2:291,293,961..291,308,376(+)","unspecified product","N/A","5569179","Q172D8"
"AAEL007439","Aedes aegypti LVP_AGWG","AaegL5_2:291,383,274..291,447,083(-)","myosin light chain 1,","N/A","5569183,5569183","Q172D1"
"AAEL007441","Aedes aegypti LVP_AGWG","AaegL5_2:291,354,864..291,356,062(-)","translocon-associated protein, gamma subunit","N/A","5569181,5569181","Q1HRN7"
"AAEL007442","Aedes aegypti LVP_AGWG","AaegL5_2:291,454,528..291,500,625(+)","F-box/leucine rich repeat protein","N/A","5569184","Q172D0"
"AAEL007443","Aedes aegypti LVP_AGWG","AaegL5_2:291,376,505..291,383,718(+)","serine/threonine protein kinase","N/A","5569182","Q172D3,Q172D4"
"AAEL007444","Aedes aegypti LVP_AGWG","AaegL5_2:291,320,155..291,345,729(-)","unspecified product","N/A","5569180,5569180","A0A0P6IZ05,Q172D6"
"AAEL007445","Aedes aegypti LVP_AGWG","AaegL5_2:291,712,893..291,714,960(+)","unspecified product","N/A","5569190","A0A0P6IXB0,Q172C4"
"AAEL007446","Aedes aegypti LVP_AGWG","AaegL5_2:291,730,240..291,731,963(-)","unspecified product","N/A","5569191","Q172C3"
"AAEL007447","Aedes aegypti LVP_AGWG","AaegL5_2:291,550,701..291,585,468(-)","unspecified product","N/A","5569186,5569186","Q172C8"
"AAEL007449","Aedes aegypti LVP_AGWG","AaegL5_2:291,594,665..291,649,250(+)","unspecified product","N/A","5569187","N/A"
"AAEL007450","Aedes aegypti LVP_AGWG","AaegL5_2:291,928,749..291,931,547(+)","Odd skipped, putative [Source:UniProtKB/TrEMBL;Acc:A0A1S4FGI2]","N/A","5569192","A0A1S4FGI2,Q172C2"
"AAEL007451","Aedes aegypti LVP_AGWG","AaegL5_2:291,507,338..291,524,202(-)","WD-repeat protein","N/A","5569185,5569185","Q172C9"
"AAEL007452","Aedes aegypti LVP_AGWG","AaegL5_2:291,235,239..291,276,612(+)","unspecified product","N/A","5569178,5569178","N/A"
"AAEL007453","Aedes aegypti LVP_AGWG","AaegL5_2:292,370,992..292,407,587(+)","unspecified product","N/A","5569194,5569194","Q172C0"
"AAEL007455","Aedes aegypti LVP_AGWG","AaegL5_1:46,020,542..46,022,096(+)","thrombospondin","N/A","5569206","Q172A7"
"AAEL007456","Aedes aegypti LVP_AGWG","AaegL5_1:46,403,930..46,416,977(-)","zinc finger protein, putative","N/A","5569200","A0A0P6IV70,Q172B4"
"AAEL007458","Aedes aegypti LVP_AGWG","AaegL5_1:46,645,839..46,664,822(+)","amino acid transporter","N/A","5569198","A0A1S4FGK0,Q172B9"
"AAEL007461","Aedes aegypti LVP_AGWG","AaegL5_1:46,327,296..46,330,073(+)","unspecified product","N/A","5569205","Q172A9"
"AAEL007462","Aedes aegypti LVP_AGWG","AaegL5_2:57,735,923..57,738,917(+)","unspecified product","N/A","5569215,5569215","Q171Z9"
"AAEL007464","Aedes aegypti LVP_AGWG","AaegL5_1:46,336,200..46,337,648(-)","unspecified product","N/A","5569204","A0A1S4FGM1,Q172B0"
"AAEL007465","Aedes aegypti LVP_AGWG","AaegL5_1:45,935,275..46,286,829(-)","unspecified product","N/A","5576274","N/A"
"AAEL007466","Aedes aegypti LVP_AGWG","AaegL5_2:57,725,729..57,727,779(-)","histone-fold protein CHRAC subunit, putative","N/A","5569216,5569216","Q171Z8"
"AAEL007468","Aedes aegypti LVP_AGWG","AaegL5_1:46,378,698..46,381,457(-)","zinc finger protein, putative","N/A","5569199","A0A1S4FGL0,Q16E65,Q172B2"
"AAEL007469","Aedes aegypti LVP_AGWG","AaegL5_1:46,389,707..46,403,688(+)","mitotic checkpoint protein bub3","N/A","5569203,5569203","Q172B3"
"AAEL007472","Aedes aegypti LVP_AGWG","AaegL5_2:57,961,813..57,963,933(+)","unspecified product","N/A","5569211,5569211","A0A1S4G2U6,Q16FC4,Q172A3"
"AAEL007473","Aedes aegypti LVP_AGWG","AaegL5_2:57,751,829..57,777,257(-)","cytochrome P450","CYP6AH1","5569214,5569214","A0A1S4G4H7,Q172A0,Q1DGG5"
"AAEL007476","Aedes aegypti LVP_AGWG","AaegL5_1:46,473,919..46,499,958(+)","makorin","N/A","5569202","A0A0N8ES17,A0A1S4FGT0,Q172B6"
"AAEL007480","Aedes aegypti LVP_AGWG","AaegL5_1:216,661,767..216,666,631(-)","Glutamate-cysteine ligase, regulatory-subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1S4FGN5]","N/A","5569230","A0A0N8ES65,A0A1S4FGN5,Q171Y3"
"AAEL007481","Aedes aegypti LVP_AGWG","AaegL5_1:216,673,779..216,675,109(+)","GDP-fucose transporter, putative","N/A","5569231","A0A1S4FGL2,Q171Y2"
"AAEL007482","Aedes aegypti LVP_AGWG","AaegL5_1:216,416,587..216,418,403(+)","Mediator of RNA polymerase II transcription subunit 27 (Mediator complex subunit 27)","Med27","5569226,5569226","Q171Y8"
"AAEL007483","Aedes aegypti LVP_AGWG","AaegL5_1:216,289,250..216,324,311(+)","unspecified product","N/A","5569220","Q171Z5"
"AAEL007484","Aedes aegypti LVP_AGWG","AaegL5_1:216,399,785..216,412,376(-)","protein transport protein sec23","N/A","5569219,5569219","Q171Y9"
"AAEL007487","Aedes aegypti LVP_AGWG","AaegL5_1:216,811,158..216,839,318(+)","unspecified product","N/A","5569236,5569236","N/A"
"AAEL007492","Aedes aegypti LVP_AGWG","AaegL5_1:216,675,026..216,690,503(-)","unspecified product","N/A","110681536","Q171Y1"
"AAEL007493","Aedes aegypti LVP_AGWG","AaegL5_1:216,347,829..216,350,136(+)","unspecified product","N/A","5569224","A0A1S4FGY1,Q171Z4"
"AAEL007494","Aedes aegypti LVP_AGWG","AaegL5_1:216,391,481..216,399,735(+)","calcineurin b subunit","N/A","5569222,5569222","Q171Z1,Q1DGP4"
"AAEL007495","Aedes aegypti LVP_AGWG","AaegL5_1:216,890,639..216,947,075(-)","phosphoglycerate mutase","N/A","5569239","A0A1S4FGQ0,Q171X3"
"AAEL007496","Aedes aegypti LVP_AGWG","NIGP01000904:8,147..9,903(+)","DNA-directed RNA polymerase III, 62-kS-subunit, putative","N/A","5569233,5569233","Q171Y0"
"AAEL007500","Aedes aegypti LVP_AGWG","AaegL5_1:216,445,651..216,483,487(+)","CRAL_TRIO_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4FGV5]","N/A","5569225","A0A1S4FGV5,Q171Y7"
"AAEL007501","Aedes aegypti LVP_AGWG","AaegL5_1:216,350,130..216,374,918(-)","nikI, nikkomycin biosynthesis protein P6, putative","N/A","5564088","Q16GQ2,Q171Z3"
"AAEL007502","Aedes aegypti LVP_AGWG","AaegL5_2:223,531,316..223,691,749(-)","iroquois-class homeodomain protein irx","N/A","5569248","A0A1S4FGP2,Q171W7"
"AAEL007505","Aedes aegypti LVP_AGWG","AaegL5_2:223,916,126..224,077,248(-)","iroquois-class homeodomain protein irx","N/A","5569243","N/A"
"AAEL007507","Aedes aegypti LVP_AGWG","AaegL5_1:197,895,810..197,898,589(-)","unspecified product","N/A","5569271","A0A1S4FGP7,Q171V2"
"AAEL007508","Aedes aegypti LVP_AGWG","AaegL5_1:199,094,367..199,153,140(-)","oviductin","N/A","5569262,5569262","Q171W2"
"AAEL007509","Aedes aegypti LVP_AGWG","AaegL5_1:198,676,121..198,677,350(+)","neuroendocrine differentiation factor","N/A","5569267,5569267","Q171V6"
"AAEL007511","Aedes aegypti LVP_AGWG","AaegL5_1:198,951,888..198,998,396(-)","serine protease","N/A","5569265","A0A1S4FH02,Q171W0"
"AAEL007512","Aedes aegypti LVP_AGWG","AaegL5_1:198,648,906..198,669,042(-)","ATP-dependent RNA and DNA helicase","N/A","5569268","A0A1S4FGQ2,Q171V5"
"AAEL007514","Aedes aegypti LVP_AGWG","AaegL5_1:199,026,270..199,083,866(-)","Oviductin [Source:UniProtKB/TrEMBL;Acc:A0A1S4FGP8]","N/A","5569263","A0A1S4FGP8"
"AAEL007518","Aedes aegypti LVP_AGWG","AaegL5_1:197,743,626..198,609,376(+)","complexin, putative","N/A","5569269","N/A"
"AAEL007519","Aedes aegypti LVP_AGWG","AaegL5_1:199,195,495..199,209,773(-)","oviductin","N/A","5569259","A0A1S4FGQ8,J9HGX9,Q171W3"
"AAEL007521","Aedes aegypti LVP_AGWG","AaegL5_2:217,471,917..217,504,481(-)","importin beta-2","N/A","5569279,5569279","N/A"
"AAEL007523","Aedes aegypti LVP_AGWG","AaegL5_3:127,169,390..127,200,485(+)","peroxisomal n1-acetyl-spermine/spermidine oxidase","N/A","5569283","A0A1S4FGT1,Q171T9"
"AAEL007525","Aedes aegypti LVP_AGWG","AaegL5_2:217,448,436..217,459,651(-)","rab 19","N/A","5569277,5569277","Q171U7"
"AAEL007526","Aedes aegypti LVP_AGWG","AaegL5_2:217,545,613..217,552,350(-)","electron transfer flavoprotein-ubiquinone oxidoreductase","N/A","5569281","A0A0P6J107"
"AAEL007527","Aedes aegypti LVP_AGWG","AaegL5_2:217,411,967..217,448,788(+)","unspecified product","N/A","5569276","A0A1S4FGT6,Q171U8"
"AAEL007531","Aedes aegypti LVP_AGWG","AaegL5_2:217,332,035..217,401,003(-)","unspecified product","N/A","5569275","Q171U9"
"AAEL007532","Aedes aegypti LVP_AGWG","AaegL5_2:217,514,196..217,545,639(+)","unspecified product","N/A","5569280","A0A1S4FGU0"
"AAEL007534","Aedes aegypti LVP_AGWG","AaegL5_3:100,394,991..100,421,826(+)","unspecified product","N/A","5569297,5569297","Q171T2"
"AAEL007535","Aedes aegypti LVP_AGWG","AaegL5_3:100,473,823..100,552,280(+)","unspecified product","N/A","5569294","N/A"
"AAEL007536","Aedes aegypti LVP_AGWG","AaegL5_2:327,219,821..327,232,547(-)","carnitine o-acyltransferase","N/A","5569339","A0A1S4G6Z3,J9HRU1,Q171R6"
"AAEL007539","Aedes aegypti LVP_AGWG","AaegL5_3:100,196,274..100,358,558(+)","unspecified product","N/A","5569287","A0A0P6IXD7,Q171T5"
"AAEL007541","Aedes aegypti LVP_AGWG","AaegL5_2:327,264,355..327,266,846(-)","DNA polymerase delta small subunit","N/A","5569337,5569337","Q171R3"
"AAEL007542","Aedes aegypti LVP_AGWG","AaegL5_2:327,117,239..327,157,378(-)","glutamate decarboxylase","N/A","5569335","A0A1S4FGS8,Q171S0"
"AAEL007543","Aedes aegypti LVP_AGWG","AaegL5_3:100,370,926..100,371,732(-)","unspecified product","N/A","5569299,5569299","Q171T3"
"AAEL007544","Aedes aegypti LVP_AGWG","AaegL5_2:326,874,810..326,920,571(+)","serine/threonine-protein kinase chk2 (cds1)","N/A","5569344,5569344","Q171S5"
"AAEL007545","Aedes aegypti LVP_AGWG","NIGP01002178:21,740..39,352(-)","unspecified product","N/A","5569325,5569325","Q171S7"
"AAEL007546","Aedes aegypti LVP_AGWG","AaegL5_2:327,246,199..327,251,708(+)","actin-related protein 2/3 complex subunit 1A","N/A","5569338","A0A1S4FGV6,Q171R5"
"AAEL007547","Aedes aegypti LVP_AGWG","AaegL5_2:17,136,625..17,175,827(-)","chloride channel protein","N/A","5569288","Q171T6"
"AAEL007548","Aedes aegypti LVP_AGWG","AaegL5_2:327,201,672..327,214,142(+)","leukocyte receptor cluster (lrc) member","N/A","5569340","A0A1S4FH03,Q171R8,Q171R9"
"AAEL007549","Aedes aegypti LVP_AGWG","AaegL5_2:327,281,114..327,281,932(-)","phosphatidylethanolamine-binding protein","N/A","5569310,5569310","Q16LF6,Q1HQT8"
